,Bus Number,First Stop,Destination,Planned Time,Observed Time,Trip Status,Previous Stop,Previous Stop Time,Observed Previous Stop,Duration,Trip Duration
67,FlixBus • Bus N236,Bratislava (Mlynské Nivy busstation),Richting  Paris (Bercy Seine),12:45,12:43,Op tijd,Disneyland Paris - Chessy Sud,12:05,12:06,0:37:00,19:38:00
68,FlixBus • Bus 793,Lisbon (Oriente),Richting  Paris (Bercy Seine),12:50,12:11,Op tijd,Poitiers Futuroscope (TGV Station),08:45,08:47,3:24:00,"1 day, 1:54:00"
70,FlixBus • Bus 1752,Caen (Central busstation vlakbij SNCF station),Richting  Brussel Zuidstation (Gare du Midi),12:55,14:55,Vertraagd,Parijs (Luchthaven Orly),12:10,14:10,0:45:00,6:10:00
69,FlixBus • Bus N74,Copenhagen Busterminal,Richting  Paris (Bercy Seine),12:55,14:08,Vertraagd,Keulen Bonn Airport,06:15,07:10,6:58:00,22:32:00
71,FlixBus • Bus 1772,Vannes (Centraal busstation vlakbij het SNCF station),Richting  Paris (Bercy Seine),13:10,12:53,Op tijd,Laval,09:35,09:35,3:18:00,6:43:00
72,FlixBus • Bus 714,Angers (Busstation),Richting  Paris (Bercy Seine),13:15,13:15,Op tijd,Le Mans (Université),10:25,10:22,2:53:00,4:00:00
73,FlixBus • Bus N1305,"Warschau (Busstation Zachodnia, West)",Richting  Paris (Bercy Seine),13:30,13:56,Vertraagd,"Saarbrücken (Busstation, Dudweilerstraße)",08:30,09:01,4:55:00,23:46:00
49,FlixBus • Bus 756,Parijs (Luchthaven Orly),Richting  Reims,13:35,13:35,Op tijd,Parijs (Luchthaven Orly),13:00,13:00,0:35:00,0:35:00
50,FlixBus • Bus N1131,Murcia (Bus Station),Richting  Paris (Bercy Seine),13:40,14:01,Vertraagd,Chalon-sur-Saône,09:15,09:10,4:51:00,"1 day, 0:41:00"
51,FlixBus • Bus N880,Zračna luka Zagreb,Richting  Paris (Bercy Seine),13:55,13:20,Op tijd,Straatsburg (Place de l'Étoile),07:50,07:48,5:32:00,20:00:00
52,FlixBus • Bus 757,Brugge (Station),Richting  Paris (Bercy Seine),14:05,14:05,Op tijd,Parijs Luchthaven Charles de Gaulle (Roissypole -Terminal 3),13:15,13:22,0:43:00,4:25:00
53,FlixBus • Bus N780,Berlijn (Busstation),Richting  Paris (Bercy Seine),14:10,14:11,Op tijd,Reims,12:20,12:22,1:49:00,16:49:00
54,FlixBus • Bus 820,Maastricht (International Bus Station),Richting  Paris (Bercy Seine),14:15,14:16,Op tijd,Valenciennes (universiteiten),11:20,11:11,3:05:00,7:25:00
55,FlixBus • Bus 790,"Saarbrücken (Busstation, Dudweilerstraße)",Richting  Tours (Parkeerplaats Les Peupliers),14:20,14:04,Op tijd,Metz (Centraal busstation),09:45,09:41,4:23:00,5:42:00
